lx,ly,dx,dy
0,0,16,0
1,0,17,0
2,0,18,0
3,0,19,0
4,0,20,0
5,0,21,0
6,0,22,0
7,0,23,0
8,0,24,0
9,0,25,0
10,0,26,0
11,0,27,0
12,0,28,0
13,0,29,0
14,0,30,0
15,0,31,0
16,0,48,0
17,0,49,0
18,0,50,0
19,0,51,0
20,0,52,0
21,0,53,0
22,0,54,0
23,0,55,0
24,0,56,0
25,0,57,0
26,0,58,0
27,0,59,0
28,0,60,0
29,0,61,0
30,0,62,0
31,0,63,0
32,0,80,0
33,0,81,0
34,0,82,0
35,0,83,0
36,0,84,0
37,0,85,0
38,0,86,0
39,0,87,0
40,0,88,0
41,0,89,0
42,0,90,0
43,0,91,0
44,0,92,0
45,0,93,0
46,0,94,0
47,0,95,0
48,0,112,0
49,0,113,0
50,0,114,0
51,0,115,0
52,0,116,0
53,0,117,0
54,0,118,0
55,0,119,0
56,0,120,0
57,0,121,0
58,0,122,0
59,0,123,0
60,0,124,0
61,0,125,0
62,0,126,0
63,0,127,0
0,1,16,1
1,1,17,1
2,1,18,1
3,1,19,1
4,1,20,1
5,1,21,1
6,1,22,1
7,1,23,1
8,1,24,1
9,1,25,1
10,1,26,1
11,1,27,1
12,1,28,1
13,1,29,1
14,1,30,1
15,1,31,1
16,1,48,1
17,1,49,1
18,1,50,1
19,1,51,1
20,1,52,1
21,1,53,1
22,1,54,1
23,1,55,1
24,1,56,1
25,1,57,1
26,1,58,1
27,1,59,1
28,1,60,1
29,1,61,1
30,1,62,1
31,1,63,1
32,1,80,1
33,1,81,1
34,1,82,1
35,1,83,1
36,1,84,1
37,1,85,1
38,1,86,1
39,1,87,1
40,1,88,1
41,1,89,1
42,1,90,1
43,1,91,1
44,1,92,1
45,1,93,1
46,1,94,1
47,1,95,1
48,1,112,1
49,1,113,1
50,1,114,1
51,1,115,1
52,1,116,1
53,1,117,1
54,1,118,1
55,1,119,1
56,1,120,1
57,1,121,1
58,1,122,1
59,1,123,1
60,1,124,1
61,1,125,1
62,1,126,1
63,1,127,1
0,2,16,2
1,2,17,2
2,2,18,2
3,2,19,2
4,2,20,2
5,2,21,2
6,2,22,2
7,2,23,2
8,2,24,2
9,2,25,2
10,2,26,2
11,2,27,2
12,2,28,2
13,2,29,2
14,2,30,2
15,2,31,2
16,2,48,2
17,2,49,2
18,2,50,2
19,2,51,2
20,2,52,2
21,2,53,2
22,2,54,2
23,2,55,2
24,2,56,2
25,2,57,2
26,2,58,2
27,2,59,2
28,2,60,2
29,2,61,2
30,2,62,2
31,2,63,2
32,2,80,2
33,2,81,2
34,2,82,2
35,2,83,2
36,2,84,2
37,2,85,2
38,2,86,2
39,2,87,2
40,2,88,2
41,2,89,2
42,2,90,2
43,2,91,2
44,2,92,2
45,2,93,2
46,2,94,2
47,2,95,2
48,2,112,2
49,2,113,2
50,2,114,2
51,2,115,2
52,2,116,2
53,2,117,2
54,2,118,2
55,2,119,2
56,2,120,2
57,2,121,2
58,2,122,2
59,2,123,2
60,2,124,2
61,2,125,2
62,2,126,2
63,2,127,2
0,3,16,3
1,3,17,3
2,3,18,3
3,3,19,3
4,3,20,3
5,3,21,3
6,3,22,3
7,3,23,3
8,3,24,3
9,3,25,3
10,3,26,3
11,3,27,3
12,3,28,3
13,3,29,3
14,3,30,3
15,3,31,3
16,3,48,3
17,3,49,3
18,3,50,3
19,3,51,3
20,3,52,3
21,3,53,3
22,3,54,3
23,3,55,3
24,3,56,3
25,3,57,3
26,3,58,3
27,3,59,3
28,3,60,3
29,3,61,3
30,3,62,3
31,3,63,3
32,3,80,3
33,3,81,3
34,3,82,3
35,3,83,3
36,3,84,3
37,3,85,3
38,3,86,3
39,3,87,3
40,3,88,3
41,3,89,3
42,3,90,3
